epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.7958,2.84775,5.74153,2.47773,0.41789,0.64,0.46422,0.13428,2.52546,2.76158,2.01344,0.000666,0.000666,0.000666
2,202.191,2.02154,2.14313,1.50449,0.65733,0.84212,0.76681,0.33723,1.96954,1.43541,1.56723,0.00132827,0.00132827,0.00132827
3,295.035,1.65627,1.30768,1.2922,0.75138,0.84923,0.87891,0.45252,1.68821,1.09935,1.37703,0.00198614,0.00198614,0.00198614
4,387.434,1.47608,0.9906,1.1938,0.86383,0.943,0.9577,0.57996,1.42763,1.02909,1.23032,0.0019802,0.0019802,0.0019802
5,480.689,1.43106,0.88971,1.15821,0.93013,0.973,0.98151,0.59257,1.40996,0.95983,1.20516,0.0019736,0.0019736,0.0019736
6,575.314,1.32214,0.79732,1.10107,0.97273,0.995,0.9917,0.70034,1.1229,0.73739,1.09976,0.001967,0.001967,0.001967
7,671.45,1.21593,0.73211,1.03463,0.95171,0.98549,0.98488,0.72402,1.09386,0.8346,1.05982,0.0019604,0.0019604,0.0019604
8,764.088,1.08193,0.68562,1.00013,0.94854,0.97685,0.98723,0.71619,1.10038,0.86348,1.0418,0.0019538,0.0019538,0.0019538
9,857.945,1.03843,0.6578,0.97623,0.97435,0.98776,0.9924,0.70313,1.127,0.7299,1.03444,0.0019472,0.0019472,0.0019472
10,950.564,1.11999,0.65831,0.98991,0.994,1,0.99482,0.70322,1.13199,0.67599,1.03383,0.0019406,0.0019406,0.0019406
11,1043.42,1.0208,0.61066,0.947,0.9927,1,0.99489,0.74208,0.98527,0.61568,0.96842,0.001934,0.001934,0.001934
12,1137.51,0.98256,0.58764,0.92447,0.99464,1,0.9944,0.72853,1.03523,0.63623,0.98325,0.0019274,0.0019274,0.0019274
13,1231.56,0.93927,0.56372,0.90018,0.98968,0.997,0.9925,0.73038,0.98104,0.70235,0.97481,0.0019208,0.0019208,0.0019208
14,1324.07,0.92706,0.54931,0.90074,0.99843,1,0.995,0.79878,0.86272,0.56692,0.93195,0.0019142,0.0019142,0.0019142
15,1418.16,0.95101,0.55162,0.93029,0.99773,1,0.995,0.81609,0.77665,0.59289,0.91232,0.0019076,0.0019076,0.0019076
16,1512.65,0.86576,0.51852,0.87028,0.99409,1,0.99485,0.78597,0.89144,0.66192,0.93256,0.001901,0.001901,0.001901
17,1607.13,0.8724,0.51642,0.88081,0.99659,1,0.99476,0.8011,0.79702,0.55302,0.91454,0.0018944,0.0018944,0.0018944
18,1702.6,0.84812,0.49745,0.85934,0.99872,1,0.99498,0.80343,0.81697,0.53566,0.89959,0.0018878,0.0018878,0.0018878
19,1796.68,0.81987,0.4855,0.86327,0.99956,1,0.995,0.82814,0.75792,0.52143,0.8878,0.0018812,0.0018812,0.0018812
20,1888.38,0.78913,0.47753,0.85925,0.99928,1,0.995,0.81719,0.75924,0.50537,0.89664,0.0018746,0.0018746,0.0018746
21,1980.49,0.85093,0.49005,0.86373,0.99775,1,0.99477,0.80639,0.77971,0.67975,0.89197,0.001868,0.001868,0.001868
22,2072.86,0.8525,0.49595,0.86387,1,0.99976,0.995,0.80086,0.80025,0.59673,0.90538,0.0018614,0.0018614,0.0018614
23,2164.16,0.82362,0.49521,0.86155,0.99462,1,0.994,0.78891,0.81306,0.63138,0.89895,0.0018548,0.0018548,0.0018548
24,2255.45,0.78341,0.47889,0.84811,0.99954,1,0.995,0.81392,0.77935,0.56349,0.89083,0.0018482,0.0018482,0.0018482
25,2349.2,0.7708,0.45893,0.82679,0.99929,1,0.995,0.83312,0.73714,0.50936,0.8803,0.0018416,0.0018416,0.0018416
26,2444.03,0.73284,0.44899,0.82283,0.99967,1,0.995,0.83757,0.7059,0.48248,0.87991,0.001835,0.001835,0.001835
27,2538.46,0.74951,0.44884,0.81474,0.99987,1,0.995,0.83031,0.71088,0.48068,0.87648,0.0018284,0.0018284,0.0018284
28,2633.62,0.73172,0.44465,0.83436,0.99977,1,0.995,0.82564,0.75336,0.49501,0.88109,0.0018218,0.0018218,0.0018218
29,2728.55,0.78759,0.45696,0.83906,0.99982,1,0.995,0.85008,0.67699,0.44182,0.86746,0.0018152,0.0018152,0.0018152
30,2823.25,0.73082,0.44659,0.8094,0.99981,1,0.995,0.84539,0.68722,0.46207,0.86197,0.0018086,0.0018086,0.0018086
31,2916.14,0.68067,0.41907,0.80493,0.99988,1,0.995,0.84618,0.6963,0.45672,0.86691,0.001802,0.001802,0.001802
32,3006.97,0.70173,0.42551,0.8064,0.99985,1,0.995,0.83783,0.69035,0.46311,0.86333,0.0017954,0.0017954,0.0017954
33,3097.9,0.72241,0.42678,0.80953,0.99989,1,0.995,0.84097,0.70097,0.50513,0.86735,0.0017888,0.0017888,0.0017888
34,3189.1,0.72966,0.44393,0.82299,0.99973,1,0.995,0.83487,0.70118,0.48661,0.86484,0.0017822,0.0017822,0.0017822
35,3282.89,0.72613,0.42955,0.81733,0.99977,1,0.995,0.83302,0.69582,0.46246,0.86482,0.0017756,0.0017756,0.0017756
36,3376.27,0.72231,0.43056,0.81045,0.99978,1,0.995,0.85582,0.65689,0.45252,0.85505,0.001769,0.001769,0.001769
37,3467.95,0.70686,0.42747,0.81416,0.99978,1,0.995,0.8285,0.72693,0.4676,0.86297,0.0017624,0.0017624,0.0017624
38,3562.42,0.70003,0.42913,0.81133,0.99979,1,0.995,0.83685,0.6833,0.51995,0.86039,0.0017558,0.0017558,0.0017558
39,3656.82,0.66037,0.41036,0.80646,0.99986,1,0.995,0.87134,0.59394,0.42715,0.84131,0.0017492,0.0017492,0.0017492
40,3750.85,0.63754,0.39063,0.79376,0.99991,1,0.995,0.86635,0.62469,0.41282,0.84653,0.0017426,0.0017426,0.0017426
41,3845.68,0.68707,0.40434,0.81556,0.99966,1,0.995,0.865,0.59947,0.41457,0.84596,0.001736,0.001736,0.001736
42,3940.31,0.65411,0.39529,0.79646,0.99891,1,0.99499,0.84027,0.65431,0.47298,0.84764,0.0017294,0.0017294,0.0017294
43,4034.94,0.63167,0.39079,0.78578,0.99991,1,0.995,0.87571,0.57447,0.47099,0.83664,0.0017228,0.0017228,0.0017228
44,4128.94,0.64904,0.39984,0.78799,0.9998,1,0.995,0.8668,0.62524,0.49595,0.84239,0.0017162,0.0017162,0.0017162
45,4223.96,0.65142,0.39492,0.79818,0.99981,1,0.995,0.86021,0.60295,0.44992,0.83786,0.0017096,0.0017096,0.0017096
46,4316.21,0.64903,0.40258,0.79366,0.99985,1,0.995,0.85854,0.61535,0.52691,0.84002,0.001703,0.001703,0.001703
47,4407.88,0.61727,0.37676,0.77946,0.99987,1,0.995,0.86107,0.63691,0.42406,0.84047,0.0016964,0.0016964,0.0016964
48,4502.63,0.64996,0.39793,0.80233,0.99991,1,0.995,0.85499,0.6162,0.44828,0.84026,0.0016898,0.0016898,0.0016898
