epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.433,3.97637,0.26404,0.73775,0.99989,1,0.995,0.93706,2.13827,0.29119,0.79994,0.000666,0.000666,0.000666
2,235.631,0.03155,0.315,0.74526,0.9999,1,0.995,0.9177,-0.28508,0.29246,0.80865,0.00132167,0.00132167,0.00132167
3,351.653,-4.10292,0.31151,0.73997,0.94942,0.95738,0.98244,0.82513,-1.98656,0.45455,0.86393,0.00196634,0.00196634,0.00196634
4,470.81,-8.24072,0.32254,0.75017,0.87886,0.552,0.59423,0.43322,-4.32048,3.83499,1.39887,0.0019505,0.0019505,0.0019505
5,590.072,-9.91054,0.35096,0.77421,0.98542,0.933,0.98073,0.83215,5.41565,0.53664,0.9081,0.001934,0.001934,0.001934
6,709.158,-10.2698,0.36793,0.77015,0.99682,1,0.99486,0.87971,-10.6588,0.39785,0.83158,0.0019175,0.0019175,0.0019175
7,829.359,-10.3629,0.40316,0.78701,0.99739,1,0.99499,0.86313,-10.5787,0.42153,0.85055,0.001901,0.001901,0.001901
8,949.23,-10.4058,0.39209,0.78631,0.9937,0.94629,0.96618,0.82227,-8.0464,0.42966,0.86595,0.0018845,0.0018845,0.0018845
9,1068.3,-10.4625,0.39741,0.79131,0.99796,0.97674,0.99063,0.85368,-9.94701,0.45484,0.84633,0.001868,0.001868,0.001868
10,1188.8,-10.3699,0.40421,0.80571,0.99214,0.996,0.99097,0.83256,-8.54775,0.50922,0.85306,0.0018515,0.0018515,0.0018515
11,1307.7,-10.4911,0.37094,0.7767,0.9989,1,0.99493,0.89573,-10.5572,0.37396,0.82068,0.001835,0.001835,0.001835
12,1424.11,-10.5495,0.37855,0.77117,0.9999,1,0.995,0.87968,-10.6641,0.37934,0.82631,0.0018185,0.0018185,0.0018185
13,1542.52,-10.6269,0.34942,0.76479,0.99986,1,0.995,0.89394,-10.702,0.34424,0.81869,0.001802,0.001802,0.001802
14,1660.79,-10.6816,0.3396,0.75923,0.99993,1,0.995,0.89129,-10.6929,0.35276,0.81787,0.0017855,0.0017855,0.0017855
15,1780,-10.7082,0.33418,0.78169,0.99984,1,0.995,0.91207,-10.7628,0.33249,0.81235,0.001769,0.001769,0.001769
16,1899.29,-10.7197,0.32597,0.75187,0.99988,1,0.995,0.89655,-10.7393,0.36359,0.81039,0.0017525,0.0017525,0.0017525
17,2018.27,-10.7332,0.32714,0.75333,0.99988,1,0.995,0.91236,-10.7609,0.32772,0.80851,0.001736,0.001736,0.001736
18,2135.59,-10.7589,0.30856,0.74457,0.99976,1,0.995,0.88463,-10.6899,0.34437,0.81814,0.0017195,0.0017195,0.0017195
19,2251,-10.7237,0.32129,0.75687,0.99993,1,0.995,0.90696,-10.7536,0.31636,0.80815,0.001703,0.001703,0.001703
20,2365.59,-10.7352,0.32133,0.75496,0.99989,1,0.995,0.91278,-10.77,0.32487,0.81117,0.0016865,0.0016865,0.0016865
21,2480.9,-10.7295,0.32219,0.75496,0.9999,1,0.995,0.90623,-10.753,0.34191,0.80939,0.00167,0.00167,0.00167
22,2597.11,-10.7101,0.33028,0.75995,0.99991,1,0.995,0.90107,-10.7506,0.3377,0.80961,0.0016535,0.0016535,0.0016535
23,2716.43,-10.6993,0.33025,0.76665,0.99989,1,0.995,0.89237,-10.7278,0.37117,0.81485,0.001637,0.001637,0.001637
24,2834.16,-10.7361,0.32142,0.75875,0.99991,1,0.995,0.91451,-10.7695,0.32635,0.80399,0.0016205,0.0016205,0.0016205
25,2953.09,-10.7681,0.30171,0.73826,0.9999,1,0.995,0.91798,-10.802,0.31048,0.80075,0.001604,0.001604,0.001604
26,3070.86,-10.7757,0.29784,0.7378,0.99985,1,0.995,0.90928,-10.7718,0.31958,0.80923,0.0015875,0.0015875,0.0015875
27,3189.12,-10.7455,0.31663,0.73565,0.99993,1,0.995,0.90848,-10.7434,0.31678,0.8109,0.001571,0.001571,0.001571
28,3308.62,-10.7679,0.31619,0.75045,0.99993,1,0.995,0.9189,-10.788,0.29517,0.8039,0.0015545,0.0015545,0.0015545
29,3426.5,-10.7556,0.30984,0.75317,0.99993,1,0.995,0.93446,-10.8239,0.296,0.80228,0.001538,0.001538,0.001538
30,3544.54,-10.7881,0.2996,0.73534,0.99983,1,0.995,0.9181,-10.7978,0.29713,0.80367,0.0015215,0.0015215,0.0015215
31,3666.01,-10.7942,0.286,0.7361,0.99984,1,0.995,0.92096,-10.7956,0.31049,0.80246,0.001505,0.001505,0.001505
32,3787.96,-10.7674,0.30047,0.73511,0.99991,1,0.995,0.923,-10.8006,0.30265,0.80054,0.0014885,0.0014885,0.0014885
33,3906.28,-10.7532,0.30038,0.7432,0.99993,1,0.995,0.90216,-10.7501,0.33802,0.80831,0.001472,0.001472,0.001472
34,4025.3,-10.7643,0.3059,0.75147,0.99978,1,0.995,0.91099,-10.7661,0.3111,0.80543,0.0014555,0.0014555,0.0014555
35,4143.59,-10.7719,0.29521,0.74456,0.99989,1,0.995,0.92073,-10.7974,0.30629,0.80398,0.001439,0.001439,0.001439
36,4261.65,-10.7732,0.29528,0.7438,0.99993,1,0.995,0.93085,-10.8203,0.30324,0.79958,0.0014225,0.0014225,0.0014225
37,4381.22,-10.7794,0.30328,0.74945,0.99986,1,0.995,0.90038,-10.7613,0.30865,0.80834,0.001406,0.001406,0.001406
38,4500.24,-10.7758,0.30334,0.74758,0.99897,1,0.995,0.93312,-10.8286,0.29222,0.79898,0.0013895,0.0013895,0.0013895
39,4619.83,-10.7787,0.29429,0.74643,0.99988,1,0.995,0.92727,-10.8088,0.28913,0.799,0.001373,0.001373,0.001373
40,4741.99,-10.7857,0.29477,0.73964,0.99993,1,0.995,0.92507,-10.8208,0.27554,0.8028,0.0013565,0.0013565,0.0013565
41,4860.41,-10.7767,0.29099,0.75657,0.99993,1,0.995,0.9392,-10.8223,0.28565,0.79909,0.00134,0.00134,0.00134
42,4979.3,-10.8056,0.27997,0.7359,0.99992,1,0.995,0.91882,-10.8009,0.29372,0.8022,0.0013235,0.0013235,0.0013235
43,5097.51,-10.8065,0.28405,0.73245,0.99991,1,0.995,0.93768,-10.8371,0.27727,0.79665,0.001307,0.001307,0.001307
44,5215.85,-10.7979,0.29133,0.73473,0.99988,1,0.995,0.92577,-10.8215,0.29537,0.79767,0.0012905,0.0012905,0.0012905
45,5334.31,-10.8106,0.28788,0.74299,0.99991,1,0.995,0.92032,-10.8158,0.28614,0.80208,0.001274,0.001274,0.001274
46,5456.59,-10.7907,0.29364,0.74445,0.99993,1,0.995,0.92317,-10.8154,0.28824,0.79922,0.0012575,0.0012575,0.0012575
47,5575.3,-10.8104,0.28015,0.73397,0.99993,1,0.995,0.93205,-10.8273,0.2798,0.79723,0.001241,0.001241,0.001241
48,5692.92,-10.8026,0.28836,0.7503,0.99992,1,0.995,0.9315,-10.8283,0.27851,0.79663,0.0012245,0.0012245,0.0012245
49,5807.79,-10.8263,0.27052,0.72773,0.99989,1,0.995,0.92535,-10.8192,0.29465,0.79733,0.001208,0.001208,0.001208
50,5923.91,-10.7858,0.28322,0.73931,0.99988,1,0.995,0.93507,-10.8402,0.27135,0.79618,0.0011915,0.0011915,0.0011915
51,6039.21,-10.8154,0.27882,0.73301,0.99991,1,0.995,0.92875,-10.8151,0.27929,0.80069,0.001175,0.001175,0.001175
52,6154.97,-10.806,0.27537,0.72912,0.99991,1,0.995,0.94086,-10.8432,0.26527,0.7961,0.0011585,0.0011585,0.0011585
53,6270.71,-10.8192,0.2751,0.73648,0.99994,1,0.995,0.94554,-10.8553,0.26392,0.79404,0.001142,0.001142,0.001142
54,6385.81,-10.8196,0.27187,0.73465,0.99986,1,0.995,0.93748,-10.8415,0.27039,0.79583,0.0011255,0.0011255,0.0011255
55,6501.46,-10.8121,0.28568,0.73844,0.99896,1,0.995,0.92401,-10.8143,0.31606,0.80044,0.001109,0.001109,0.001109
56,6617.27,-10.7935,0.28137,0.72915,0.99985,1,0.995,0.92492,-10.812,0.29351,0.8,0.0010925,0.0010925,0.0010925
57,6732.79,-10.8127,0.28174,0.7346,0.99993,1,0.995,0.93695,-10.8499,0.28721,0.79344,0.001076,0.001076,0.001076
58,6848.2,-10.8335,0.26602,0.7268,0.99993,1,0.995,0.94094,-10.8577,0.25972,0.79579,0.0010595,0.0010595,0.0010595
59,6963.66,-10.811,0.27596,0.73303,0.99991,1,0.995,0.94452,-10.8522,0.27018,0.79517,0.001043,0.001043,0.001043
60,7078.42,-10.7989,0.28203,0.73849,0.99982,1,0.995,0.94333,-10.8556,0.25917,0.7935,0.0010265,0.0010265,0.0010265
61,7198.01,-10.8302,0.26223,0.72879,0.99994,1,0.995,0.93842,-10.8364,0.28542,0.7965,0.00101,0.00101,0.00101
62,7318.49,-10.8219,0.27139,0.73113,0.99993,1,0.995,0.93719,-10.8456,0.26547,0.79854,0.0009935,0.0009935,0.0009935
63,7438.82,-10.8328,0.26578,0.73459,0.99993,1,0.995,0.93625,-10.8444,0.26777,0.79487,0.000977,0.000977,0.000977
64,7559.1,-10.8072,0.28238,0.7477,0.99994,1,0.995,0.94246,-10.857,0.26272,0.79671,0.0009605,0.0009605,0.0009605
65,7674.79,-10.7979,0.283,0.74719,0.99978,1,0.995,0.94266,-10.8536,0.26419,0.79702,0.000944,0.000944,0.000944
66,7789.23,-10.8181,0.27673,0.74277,0.99988,1,0.995,0.94881,-10.8679,0.26592,0.79307,0.0009275,0.0009275,0.0009275
67,7903.42,-10.8241,0.27839,0.74028,0.99984,1,0.995,0.9324,-10.8269,0.28338,0.79703,0.000911,0.000911,0.000911
68,8019.37,-10.8304,0.27098,0.72803,0.99984,1,0.995,0.94768,-10.8542,0.25803,0.7962,0.0008945,0.0008945,0.0008945
